Data de Vencimento,Valor,Descrição,Projeto,Status
05/01/2024,1500.00,Pagamento Fornecedor ABC - Material de Escritório,ADMINISTRATIVO,PENDENTE
05/01/2024,25000.00,Pagamento Folha Salarial - Janeiro/2024,RH,PENDENTE
08/01/2024,5000.00,Recebimento Cliente XYZ - NF 001234,COMERCIAL,PAGO
10/01/2024,3500.00,Aluguel Imóvel - Janeiro/2024,ADMINISTRATIVO,PENDENTE
12/01/2024,850.00,Energia Elétrica - CPFL,ADMINISTRATIVO,PENDENTE
15/01/2024,299.90,Internet Fibra - Vivo,TI,PENDENTE
18/01/2024,12000.00,Prestação de Serviços - Projeto XPTO,PROJETO-001,PAGO
20/01/2024,4500.00,DAS - Simples Nacional - Ref: 12/2023,FISCAL,PENDENTE
25/01/2024,45.00,Tarifa Manutenção Conta,ADMINISTRATIVO,PAGO
28/01/2024,8900.00,Notebook Dell - TI,TI,PENDENTE
